id,room_type,category,street,city,prefecture,cost,size,deposit,key_money,floor,year,station,minute,created_at
12919,2LDK,Apartment,Yamatecho,Yokohama-shi Naka-ku,Kanagawa,314000.0,70.55,612000.0,306000.0,2,2016,Ishikawacho,6,2025-01-20 16:17:51
12921,1K,Apartment,Matsunoki,Suginami-ku,Tokyo,68500.0,19.87,0.0,0.0,1,2007,Shin Koenji,15,2025-01-20 16:17:51
12922,1K,Apartment,Seta,Setagaya-ku,Tokyo,111050.0,30.66,0.0,105000.0,2,2013,Kaminoge,12,2025-01-20 16:17:51
12923,1K,Apartment,Akigawa,Akiruno-shi,Tokyo,65550.0,19.87,0.0,58000.0,2,2008,Akigawa,10,2025-01-20 16:17:51
12924,1K,Apartment,Yokote,Fukuoka-shi Minami-ku,Fukuoka,59550.0,19.87,0.0,54000.0,1,2009,Ijiri,15,2025-01-20 16:17:51
12925,1K,Apartment,Tokumaru,Itabashi-ku,Tokyo,70500.0,19.87,0.0,0.0,1,2009,Tōbu-nerima,12,2025-01-20 16:17:51
12927,1R,Apartment,Sendagaya,Shibuya-ku,Tokyo,106000.0,13.6,0.0,0.0,2,2020,Sendagaya,4,2025-01-20 16:17:51
12928,1K,Apartment,Urashibatamachi,Sendai-shi Wakabayashi-ku,Miyagi,56074.0,19.87,0.0,0.0,1,2008,Rembo,5,2025-01-20 16:17:51
12929,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
12930,1LDK,Apartment,Nishiwaseda(sonota),Shinjuku-ku,Tokyo,275000.0,41.0,0.0,0.0,10,2023,Omokagebashi,3,2025-01-20 16:17:51
12931,1LDK,Apartment,Nishioi,Shinagawa-ku,Tokyo,162500.0,30.02,0.0,0.0,1,2024,Magome,7,2025-01-20 16:17:51
12932,2LDK,Apartment,Ohara,Setagaya-ku,Tokyo,255000.0,55.86,0.0,0.0,1,2024,Daitabashi,7,2025-01-20 16:17:51
12933,1K,Apartment,Chitose,Sumida-ku,Tokyo,133000.0,25.16,123000.0,0.0,5,2022,Hamachou,5,2025-01-20 16:17:51
12934,2LDK,Apartment,Tsukuda,Chuo-ku,Tokyo,330000.0,75.88,330000.0,330000.0,25,1989,Tsukishima,6,2025-01-20 16:17:51
12935,1K,Apartment,Tokiwadai,Itabashi-ku,Tokyo,130660.0,25.6,0.0,117000.0,2,2024,Tokiwadai,8,2025-01-20 16:17:51
12936,1K,Apartment,Ikejiri,Setagaya-ku,Tokyo,121000.0,22.51,0.0,0.0,4,2023,Ikejiriohashi,4,2025-01-20 16:17:51
12937,1K,Apartment,Tokiwa,Saitama-shi Urawa-ku,Saitama,51000.0,19.87,0.0,0.0,1,2000,Naka Urawa,15,2025-01-20 16:17:51
12938,1K,Apartment,Higashiryoke,Kawaguchi-shi,Saitama,69000.0,25.89,0.0,0.0,1,2015,Tonerikouen,19,2025-01-20 16:17:51
12939,1LDK,Apartment,Sakuragaokacho,Shibuya-ku,Tokyo,280000.0,55.69,270000.0,270000.0,8,2000,Shibuya,4,2025-01-20 16:17:51
12940,4LDK,Apartment,Yamashitacho,Yokohama-shi Naka-ku,Kanagawa,750000.0,203.05,1500000.0,750000.0,14,1989,Ishikawacho,7,2025-01-20 16:17:51
12941,1K,Apartment,Shogokawaharacho,Kyoto-shi Sakyo-ku,Kyoto,67500.0,18.0,50000.0,0.0,3,1983,Jingu Marutamachi,3,2025-01-20 16:17:51
12942,1K,Apartment,Omoriminami,Ota-ku,Tokyo,73500.0,20.81,0.0,0.0,1,2008,Shouwajima,15,2025-01-20 16:17:51
12943,1K,Apartment,Sakaecho,Funabashi-shi,Chiba,61000.0,19.87,0.0,0.0,2,2007,Keiseifunabashi,23,2025-01-20 16:17:51
12944,2LDK,Apartment,Hongo,Bunkyo-ku,Tokyo,299000.0,51.69,284000.0,0.0,1,2024,Hongousanchoume,4,2025-01-20 16:17:51
12945,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
12946,1K,Apartment,Minamicho,Chiba-shi Chuo-ku,Chiba,56000.0,22.35,0.0,0.0,1,2003,Soga,8,2025-01-20 16:17:51
12947,1K,Apartment,Takatsukashinden,Matsudo-shi,Chiba,68550.0,28.02,0.0,0.0,2,2008,Higashi Matsudo,22,2025-01-20 16:17:51
12948,1K,Apartment,Honcho,Nakano-ku,Tokyo,110440.0,20.24,0.0,0.0,2,2006,Nakanoshinbashi,3,2025-01-20 16:17:51
12949,1R,Apartment,Megurohoncho,Meguro-ku,Tokyo,73000.0,20.7,72000.0,72000.0,2,1996,Nishikoyama,8,2025-01-20 16:17:51
12950,1K,Apartment,Inaricho,Chiba-shi Chuo-ku,Chiba,48000.0,19.87,0.0,0.0,1,2000,Chibadera,11,2025-01-20 16:17:51
12951,1K,Apartment,Minamicho,Fuchu-shi,Tokyo,66550.0,20.14,0.0,0.0,2,2008,Nakagawara,15,2025-01-20 16:17:51
12952,1K,Apartment,Kamiisshiki,Edogawa-ku,Tokyo,83050.0,20.75,0.0,77000.0,1,2016,Shinkoiwa,19,2025-01-20 16:17:51
12953,1K,Apartment,Midori,Sumida-ku,Tokyo,123000.0,25.43,0.0,0.0,4,2020,Kinshichou,8,2025-01-20 16:17:51
12954,1K,Apartment,Omiya,Osaka-shi Asahi-ku,Osaka,58500.0,19.87,0.0,0.0,1,2007,Senbayashiomiya,10,2025-01-20 16:17:51
12955,1K,Apartment,Daikyocho,Shinjuku-ku,Tokyo,153000.0,25.59,0.0,143000.0,5,2020,Yotsuya San Choume,7,2025-01-20 16:17:51
12956,1K,Apartment,Kizawa,Toda-shi,Saitama,68000.0,19.87,0.0,0.0,1,2008,Nishikawaguchi,21,2025-01-20 16:17:51
12957,1LDK,Apartment,Mita,Minato-ku,Tokyo,294620.0,51.01,261620.0,0.0,2,2003,Sengakuji,4,2025-01-20 16:17:51
12958,1K,Apartment,Takasago,Katsushika-ku,Tokyo,65500.0,19.87,0.0,0.0,1,2004,Keiseitakasago,5,2025-01-20 16:17:51
12959,1R,Apartment,Shimomaruko,Ota-ku,Tokyo,71000.0,16.86,0.0,0.0,1,2018,Shimomaruko,4,2025-01-20 16:17:51
12960,1K,Apartment,Chuo,Ota-ku,Tokyo,87500.0,25.84,0.0,0.0,1,2018,Ikegami,17,2025-01-20 16:17:51
12961,1R,Apartment,Taito,Taito-ku,Tokyo,350000.0,51.36,0.0,0.0,8,2023,Shin Okachimachi,7,2025-01-20 16:17:51
12962,2LDK,Apartment,Shimomeguro,Meguro-ku,Tokyo,274000.0,47.91,259000.0,0.0,1,2024,Meguro,6,2025-01-20 16:17:51
12963,1R,Apartment,Keyakidai,Tokorozawa-shi,Saitama,77000.0,31.82,0.0,0.0,2,2015,Koukukouen,14,2025-01-20 16:17:51
12965,2LDK,Apartment,Nishinippori,Arakawa-ku,Tokyo,246000.0,50.23,228000.0,0.0,3,2024,Nishinippori,2,2025-01-20 16:17:51
12966,Shared,Guesthouse,Ebara,Shinagawa-ku,Tokyo,68000.0,7.6,0.0,16500.0,1,1975,Nishikoyama,7,2025-01-20 16:17:51
12967,1K,Apartment,Katae,Fukuoka-shi Jonan-ku,Fukuoka,59550.0,21.81,0.0,54000.0,2,2008,Fuku Omae,13,2025-01-20 16:17:51
12968,1K,Apartment,Marunouchi,Nagoya-shi Naka-ku,Aichi,70800.0,24.78,0.0,0.0,3,2018,Hisayaodori,6,2025-01-20 16:17:51
12969,1R,Apartment,Nyosuicho,Kyoto-shi Kamigyo-ku,Kyoto,65000.0,18.0,50000.0,0.0,3,1997,Imadegawa,14,2025-01-20 16:17:51
